,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CATEGORIES,,,,,,,,,,,,,,,,,,,,,,,,,Parametr,Value ,Coef,Price,,Parametr,Value ,Coef,Price,,Parametr,Value ,Coef,Price,,Parametr,Value ,Coef,Price,,Parametr,Value ,Coef,Price
,Light Scooters [110cc-125cc] S!,,Comfort Scooters [150cc-160cc] M!,,Maxy Scooters [300cc-350cc] B!,,SEASONS,,,,,,,,,,,,,,,,,,,click,200,,230,,aerox,300,,300,,adv160,450,,450,,pcx160,900,,,,Price,1200,,
,Honda Scoopy 110cc,,Yamaha Aerox 155cc,,Yamaha Xmax 300cc,,,HIGH,,,MIDDLE,,LOW,,,,MIDDLE,,HIGH,,,,,,,1 day,1,1,200,,1 day,1,1,300,,1 day,1,1,450,,1 day,1,1,900,,1 day,1,1,1200
,Honda Giordino 125cc,,Honda PCX 150cc,,Honda Forza 350cc,,№,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,7 day,7,"0,9937",1400,,7 day,7,"0,9047",1900,,7 day,7,"0,8888",2800,,7 day,7,"0,96",6100,,7 day,7,"0,8888",7500
,"Honda Click 125cc,",,Honda ADV 150cc,,Honda ADV 350cc,,MON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,,,,,14 days,14,"0,9316",2700,,14 days,14,"0,7857",3300,,14 days,14,"0,7777",4900,,14 days,14,"0,888",11200,,14 days,14,"0,7777",13100
,Yamaha Filano 125cc,,Yamaha Nmax 155cc,,,,,,,,,,,,,,,,,,,,,,,21 days,21,"0,8281",3500,,21 days,21,"0,6984",4400,,21 days,21,"0,7407",7000,,21 days,21,"0,777",14700,,21 days,21,"0,6666",16800
,,,Honda PCX 160cc,,Cars C!,,HIGH SEASON,,,,,MIDDLE SEASON,,,,,LOW SEASON,,,,,,,,,Month,30,"0,6376",3900,,Month,30,"0,5555",5000,,Month,30,"0,59255",8000,,Month,30,"0,69",18700,,Month,30,"0,5555",20000
,,,Honda ADV 160cc,,"Mazda, Honda, Toyota, Mitsubishi",,"DEC, JAN, FEB, MAR",,,,,"APR, MAY, OCT, NOV",,,,,"JUN, JUL, AUG, SEP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OWN,CAT,BIKE ID,,BIKE NAME [ANDREW],price per day HIGH SEASON,,,,,price per day MIDDLE SEASON,,,,,price per day LOW SEASON,,,,,,CAT,BIKE ID,,BIKE NAME [PI CHA],price per day HIGH SEASON,,,,,price per day MIDDLE SEASON,,,,,price per day LOW SEASON,,,,,,,,,,,,,
